id,name,description,price,category,status
1,ไก่สะเต๊ะ,เนื้อไก่หมักเครื่องเทศย่าง เสิร์ฟพร้อมน้ำจิ้มถั่วและอาจาด,60.0,Appetizer,Inactive
2,หมูสะเต๊ะ,หมูหมักเครื่องเทศย่าง เสิร์ฟพร้อมน้ำจิ้มถั่ว,60.0,Appetizer,Inactive
3,ลาบหมู,ลาบหมูปรุงรสกลมกล่อม โรยข้าวคั่วและพริกแห้ง,65.0,Appetizer,Inactive
4,ทอดมันกุ้ง,ทอดมันกุ้งเนื้อแน่น ทอดจนกรอบนอกนุ่มใน,80.0,Appetizer,Active
5,ลูกชิ้นหมูปิ้ง,ลูกชิ้นหมูปิ้ง เสิร์ฟพร้อมน้ำจิ้มสูตรพิเศษ,40.0,Appetizer,Active
6,แหนมเนือง,แหนมเนืองสูตรเวียดนาม เสิร์ฟพร้อมแป้งและผักสด,90.0,Appetizer,Inactive
7,ปอเปี๊ยะทอด,ปอเปี๊ยะทอดกรอบไส้ผักและวุ้นเส้น เสิร์ฟพร้อมน้ำจิ้มหวาน,60.0,Appetizer,Active
8,ยำไข่ดาว,ไข่ดาวทอดกรอบราดน้ำยำรสจัด,65.0,Appetizer,Active
9,ส้มตำไทย,ส้มตำไทยรสจัดจ้าน พร้อมกุ้งแห้งและถั่วลิสง,55.0,Appetizer,Inactive
10,ส้มตำปูปลาร้า,ส้มตำปูปลาร้า แซ่บถึงใจ,55.0,Appetizer,Inactive
11,ไก่ทอดสมุนไพร,ไก่ทอดโรยสมุนไพรไทย เสิร์ฟพร้อมน้ำจิ้มแจ่ว,70.0,Appetizer,Active
12,ยำหมูยอ,หมูยอคลุกเคล้ากับน้ำยำสูตรพิเศษ,70.0,Appetizer,Inactive
13,เกี๊ยวทอด,เกี๊ยวทอดกรอบ เสิร์ฟพร้อมน้ำจิ้มบ๊วย,50.0,Appetizer,Active
14,ปีกไก่ทอดเกลือ,ปีกไก่ทอดเกลือ เคี้ยวมันกำลังดี,70.0,Appetizer,Active
15,ทอดมันปลากราย,ทอดมันปลากราย เสิร์ฟพร้อมน้ำจิ้มรสเด็ด,80.0,Appetizer,Inactive
16,ผัดไทยกุ้งสด,เส้นจันท์ผัดซอสสูตรพิเศษใส่กุ้งสด,120.0,Main Course,Inactive
17,ข้าวผัดกะเพราไก่,ข้าวผัดกะเพราไก่ไข่ดาว,85.0,Main Course,Active
18,ข้าวผัดปู,ข้าวผัดปูเนื้อแน่น ปรุงรสอร่อย,80.0,Main Course,Active
19,ข้าวมันไก่,ข้าวมันไก่สูตรพิเศษ เสิร์ฟพร้อมน้ำจิ้มเต้าเจี้ยว,70.0,Main Course,Active
20,ข้าวหมูแดง,ข้าวหมูแดงพร้อมน้ำราดสูตรเข้มข้น,75.0,Main Course,Active
21,ข้าวหมูกรอบ,ข้าวหมูกรอบกับน้ำจิ้มรสเด็ด,80.0,Main Course,Active
22,ผัดซีอิ๊วหมู,เส้นใหญ่ผัดซีอิ๊วกับหมูและไข่,70.0,Main Course,Active
23,ข้าวผัดแกงเขียวหวานไก่,ข้าวผัดแกงเขียวหวานไก่ใส่ใบโหระพา,95.0,Main Course,Inactive
24,แกงส้มชะอมไข่,แกงส้มชะอมไข่กับกุ้ง,100.0,Main Course,Inactive
25,แกงป่าไก่บ้าน,แกงป่าไก่บ้านรสจัดจ้าน,100.0,Main Course,Inactive
26,ข้าวผัดกะเพราหมู,ข้าวผัดกะเพราหมู,85.0,Main Course,Active
27,ต้มยำกุ้ง,ต้มยำกุ้งสุดแซ่บ มรดกโลกที่จับต้องไม่ได้ของยูเนสโก,100.0,Main Course,Active
